"ID","LIMIT_BAL","MARRIAGE","EDUCATION","SEX","AGE","PAY_1","PAY_2","PAY_3","BILL_AMT1","BILL_AMT2","BILL_AMT3","PAY_AMT1","PAY_AMT2","PAY_AMT3","TARGET"
1,30000,1,1,2,40,0,0,0,24607,24430,23881,1700,1600,1287,0
2,20000,1,1,2,41,1,2,0,17040,16474,17203,0,1300,1500,0
3,20000,1,1,2,36,0,0,0,17332,18600,17947,1580,1367,1178,0
4,20000,1,1,2,35,0,0,0,2003,2948,3372,1086,1000,0,0
5,170000,1,1,2,38,0,0,0,171465,145196,110163,18500,13998,3760,0
6,20000,1,1,2,40,0,0,0,16500,17012,18181,1281,1450,1600,0
7,2e+05,1,1,2,32,0,0,0,157222,160320,162140,7200,5888,5990,0
8,370000,1,1,2,37,0,0,0,47269,43531,59801,2000,20000,8000,0
9,160000,1,1,2,39,0,0,0,106643,89397,90348,3700,6353,1200,0
10,30000,1,1,2,36,1,2,2,25826,27274,25744,3000,0,3000,0
11,240000,1,1,2,41,0,0,0,48502,49001,47026,2200,1923,1682,0
12,270000,1,1,2,40,0,0,0,184560,178592,170225,6061,6081,5072,0
13,180000,1,1,2,44,0,0,0,173267,174590,175233,8100,5299,3305,0
14,240000,1,1,2,40,0,0,0,3647,2530,464,2535,464,1316,0
15,2e+05,1,1,2,43,0,0,0,143994,102211,54762,4767,2573,2604,0
16,250000,1,1,2,35,0,0,0,242971,244628,243223,8310,7938,8101,0
17,50000,1,1,2,40,0,0,0,5538,6563,7422,1271,1130,1000,0
18,30000,1,1,2,39,1,2,0,15526,14923,10936,0,1000,500,0
19,3e+05,1,1,2,36,0,0,0,2200,1378,1109,1378,1422,0,0
20,140000,1,1,2,39,0,0,0,4679,3146,0,1000,0,2000,0
21,160000,1,1,2,38,2,2,0,498,135,0,135,0,0,0
22,160000,1,1,2,39,0,0,0,1055,2579,1155,2579,1155,3334,0
23,150000,1,1,2,40,3,3,4,103389,108189,112968,8000,8000,8000,0
24,250000,1,1,2,41,0,0,0,41075,31898,103675,5000,94000,3000,0
25,50000,1,1,2,31,0,0,0,26979,21029,18765,1328,1298,678,0
26,80000,1,1,2,39,0,0,0,64561,47041,25439,2176,1299,1000,0
27,110000,1,1,2,38,0,0,0,96155,96752,98884,5000,5000,3000,0
28,5e+05,1,1,2,37,0,0,0,4101,11076,3834,11155,4024,754,0
29,330000,1,1,2,39,0,0,0,165042,163406,137664,9000,7558,5000,0
30,470000,1,1,2,35,0,0,0,79455,74993,48344,2348,1542,1041,0
31,80000,1,1,2,34,0,0,0,107044,103077,98328,5000,5000,5000,0
32,50000,1,1,2,42,0,0,0,41674,40012,31089,1660,1612,652,0
33,240000,1,1,2,40,0,0,0,127919,93266,95837,4000,4840,4000,0
34,80000,1,1,2,32,0,0,0,35303,36215,37330,1800,2000,2000,0
35,20000,1,1,2,32,0,0,0,12146,7698,6005,1273,1039,1000,0
36,210000,1,1,2,38,0,0,0,4341,402,11305,402,11401,1368,0
37,2e+05,1,1,2,33,0,0,0,98426,91948,17042,52306,1000,212,0
38,2e+05,1,1,2,37,0,0,0,75014,77044,80096,3190,4195,4300,0
39,230000,1,1,2,43,0,0,0,1215,225,5703,525,5703,1000,0
40,50000,1,1,2,31,0,0,0,35227,36236,21068,2011,2000,2000,0
41,50000,1,1,2,39,0,0,0,1500,0,0,0,0,0,0
42,50000,1,1,2,34,0,0,0,47649,49100,50380,2220,2500,644,0
43,310000,1,1,2,37,0,0,0,4052,6514,-3484,6514,0,0,0
44,240000,1,1,2,36,0,0,0,16925,1411,1696,1411,1200,0,0
45,1e+05,1,1,2,41,0,0,0,34572,35173,35828,1849,1894,1582,0
46,30000,1,1,2,34,0,0,0,29866,30900,0,1900,0,0,0
47,150000,1,1,2,36,0,0,0,3060,0,530,150,530,0,0
48,150000,1,1,2,33,0,0,0,38985,36466,31907,10107,20000,10000,0
49,150000,3,1,2,37,0,0,0,1080,17493,9160,17498,9160,2939,0
50,140000,1,1,2,41,1,2,0,112592,108669,110174,0,5500,4900,0
51,110000,1,1,2,32,0,0,0,106202,105080,107420,5300,5540,5361,0
52,220000,1,1,2,36,0,2,2,1379,1205,825,705,325,1283,0
53,190000,1,1,2,37,0,0,0,137502,127014,120826,6112,4202,4200,0
54,360000,1,1,2,40,0,0,0,0,0,0,0,0,0,0
